Id,SalePrice
1461,117146.97
1462,157780.81
1463,183582.03
1464,189620.5
1465,189285.53
1466,173161.7
1467,175399.83
1468,163833.94
1469,191852.4
1470,122647.08
1471,199715.61
1472,95401.89
1473,93788.81
1474,156630.44
1475,136481.5
1476,386518.56
1477,264679.72
1478,286366.2
1479,298452.66
1480,438232.9
1481,346809.44
1482,200327.56
1483,169238.98
1484,172980.81
1485,181522.5
1486,189327.6
1487,363400.53
1488,235026.84
1489,208188.38
1490,215426.0
1491,191933.12
1492,89136.88
1493,181037.39
1494,308825.06
1495,302861.62
1496,229872.5
1497,178923.97
1498,160049.23
1499,154909.02
1500,136013.47
1501,174498.03
1502,144990.3
1503,277542.1
1504,239957.61
1505,225147.25
1506,180787.73
1507,247989.19
1508,202592.72
1509,167257.55
1510,146344.75
1511,146647.38
1512,172239.88
1513,146334.98
1514,164467.31
1515,198937.38
1516,163319.9
1517,158427.36
1518,134983.19
1519,211161.78
1520,130269.03
1521,135863.22
1522,174900.89
1523,113327.53
1524,122634.914
1525,122312.08
1526,120274.39
1527,104213.83
1528,128711.31
1529,152275.98
1530,182570.44
1531,94894.375
1532,97368.94
1533,142996.66
1534,122908.195
1535,154329.22
1536,103769.72
1537,68991.24
1538,168264.36
1539,203577.58
1540,91625.0
1541,143120.12
1542,143249.72
1543,233614.77
1544,76286.67
1545,100984.36
1546,126032.34
1547,129222.72
1548,131055.82
1549,108152.38
1550,143507.73
1551,112829.42
1552,128925.94
1553,162391.77
1554,109674.45
1555,162873.66
1556,81955.97
1557,114753.99
1558,89771.08
1559,60710.727
1560,138681.31
1561,134516.06
1562,128671.8
1563,119114.86
1564,157607.25
1565,151475.6
1566,231671.67
1567,77555.38
1568,235239.44
1569,139956.4
1570,129472.89
1571,126255.38
1572,147650.19
1573,254256.33
1574,122071.09
1575,229490.06
1576,224166.42
1577,192464.67
1578,147391.6
1579,141333.92
1580,193744.58
1581,146552.16
1582,128143.26
1583,325321.0
1584,216363.64
1585,143944.72
1586,73859.695
1587,95697.86
1588,150827.78
1589,100190.84
1590,135632.0
1591,95520.97
1592,108490.81
1593,129586.04
1594,118663.82
1595,115038.56
1596,243042.84
1597,181938.8
1598,212490.42
1599,182661.16
1600,171654.78
1601,71183.94
1602,106676.97
1603,68763.9
1604,272968.3
1605,244828.56
1606,171455.34
1607,162698.55
1608,219658.58
1609,198192.22
1610,149790.11
1611,140149.95
1612,161064.72
1613,157243.78
1614,120991.47
1615,86864.91
1616,72826.47
1617,92245.664
1618,126363.555
1619,143205.6
1620,162788.56
1621,134952.3
1622,137855.84
1623,277071.88
1624,197017.97
1625,126838.53
1626,167652.95
1627,185285.7
1628,287953.2
1629,182397.78
1630,350573.75
1631,215115.38
1632,249476.03
1633,170678.47
1634,181023.58
1635,181836.8
1636,155976.5
1637,192308.0
1638,195937.56
1639,184460.22
1640,252617.62
1641,182132.72
1642,218809.92
1643,223631.75
1644,225992.03
1645,196297.97
1646,155708.1
1647,168669.56
1648,133843.22
1649,133969.78
1650,118404.164
1651,123863.8
1652,95972.516
1653,96950.86
1654,151889.45
1655,158972.36
1656,146672.83
1657,151444.25
1658,145203.67
1659,142431.02
1660,150995.45
1661,439076.25
1662,424721.12
1663,400203.0
1664,381221.38
1665,305384.34
1666,325992.44
1667,361117.97
1668,329050.0
1669,295617.66
1670,356959.12
1671,248130.9
1672,436379.97
1673,301995.5
1674,249774.08
1675,179734.44
1676,178203.62
1677,220661.78
1678,420862.44
1679,389909.88
1680,339233.7
1681,239036.92
1682,321496.53
1683,177521.23
1684,175791.03
1685,172762.36
1686,173433.9
1687,170897.86
1688,185792.66
1689,191745.78
1690,198298.1
1691,181984.27
1692,290999.0
1693,167474.3
1694,185737.2
1695,169233.81
1696,284692.34
1697,172216.55
1698,372537.4
1699,328100.84
1700,240273.39
1701,268304.8
1702,253152.55
1703,251940.6
1704,286390.75
1705,221544.86
1706,360582.5
1707,210817.89
1708,207222.33
1709,287820.56
1710,210310.25
1711,267088.06
1712,271741.3
1713,270214.78
1714,223481.66
1715,205522.47
1716,188886.28
1717,183440.97
1718,135217.03
1719,196861.7
1720,260824.83
1721,178172.88
1722,130064.58
1723,153962.0
1724,215955.47
1725,241080.19
1726,183137.7
1727,155052.83
1728,171207.31
1729,170483.08
1730,159701.45
1731,127166.53
1732,129614.96
1733,117626.12
1734,124355.23
1735,129597.91
1736,117928.484
1737,325908.8
1738,209537.28
1739,254806.86
1740,207973.47
1741,186725.92
1742,173531.52
1743,179527.5
1744,296193.62
1745,206876.58
1746,189710.05
1747,216824.89
1748,234274.05
1749,146654.92
1750,128314.1
1751,249753.36
1752,121582.54
1753,146700.39
1754,208438.89
1755,164323.08
1756,130696.35
1757,121641.805
1758,141771.03
1759,162380.31
1760,166198.73
1761,144821.83
1762,170356.47
1763,176032.27
1764,115873.4
1765,155632.97
1766,184579.19
1767,219814.7
1768,144413.88
1769,182155.98
1770,144998.17
1771,129891.28
1772,136565.88
1773,133354.1
1774,140929.19
1775,142804.64
1776,120597.02
1777,110876.83
1778,133847.83
1779,112780.9
1780,182132.36
1781,131977.56
1782,93677.164
1783,131107.7
1784,101911.21
1785,121299.83
1786,147869.31
1787,159599.73
1788,51005.984
1789,100442.74
1790,75631.375
1791,170958.81
1792,148353.94
1793,129544.65
1794,146037.75
1795,133700.47
1796,118267.05
1797,112761.44
1798,127471.17
1799,114124.05
1800,122966.46
1801,123622.23
1802,144090.72
1803,147736.95
1804,141075.77
1805,138784.11
1806,113577.04
1807,132038.12
1808,124701.89
1809,114187.3
1810,152675.0
1811,91684.09
1812,99159.37
1813,118310.48
1814,95194.766
1815,52128.062
1816,89957.66
1817,116842.484
1818,137073.72
1819,111058.01
1820,51505.56
1821,107426.02
1822,160697.4
1823,39845.91
1824,135914.8
1825,134669.06
1826,91277.53
1827,103350.17
1828,138542.5
1829,111981.69
1830,141284.33
1831,162595.39
1832,78536.07
1833,141288.78
1834,118196.8
1835,139376.88
1836,126906.29
1837,87644.69
1838,115552.93
1839,82314.09
1840,152672.1
1841,137081.56
1842,74032.125
1843,128859.56
1844,141601.6
1845,133007.11
1846,152207.45
1847,152629.14
1848,53465.64
1849,116064.84
1850,121595.64
1851,161040.61
1852,129001.086
1853,125267.47
1854,180080.16
1855,138506.58
1856,217604.0
1857,144411.81
1858,132674.55
1859,127403.36
1860,145879.2
1861,127817.38
1862,352974.44
1863,329095.2
1864,329095.2
1865,319660.03
1866,345398.72
1867,240833.61
1868,303293.75
1869,201253.6
1870,236666.08
1871,258477.88
1872,169962.62
1873,232497.9
1874,144241.81
1875,200249.81
1876,185462.5
1877,209986.58
1878,193717.8
1879,130233.01
1880,138962.23
1881,242073.38
1882,257145.75
1883,185963.72
1884,198834.94
1885,256473.72
1886,316785.16
1887,205806.08
1888,282340.8
1889,152073.25
1890,119188.38
1891,135431.78
1892,105810.87
1893,128154.75
1894,129750.39
1895,135837.17
1896,123229.195
1897,108912.22
1898,109103.914
1899,150156.69
1900,150048.45
1901,168386.53
1902,141447.86
1903,210817.3
1904,153589.94
1905,193397.16
1906,148061.5
1907,189817.72
1908,116739.01
1909,138040.42
1910,121653.75
1911,217445.72
1912,339675.9
1913,155782.95
1914,52953.016
1915,311371.3
1916,65691.5
1917,285758.62
1918,138686.86
1919,161127.4
1920,135406.34
1921,440764.06
1922,336447.75
1923,222053.58
1924,215831.94
1925,195583.6
1926,393431.44
1927,136653.69
1928,160025.42
1929,119619.62
1930,128625.54
1931,141966.14
1932,139504.39
1933,172818.72
1934,180694.48
1935,170215.34
1936,191268.72
1937,181923.19
1938,172718.88
1939,245009.81
1940,189348.9
1941,168264.84
1942,185612.19
1943,201878.53
1944,363260.56
1945,397262.06
1946,132621.16
1947,327870.3
1948,178665.97
1949,234284.55
1950,182484.27
1951,260537.45
1952,211232.88
1953,165231.84
1954,179473.9
1955,134393.73
1956,315000.8
1957,151829.5
1958,327213.72
1959,139391.22
1960,116148.664
1961,122236.75
1962,97980.84
1963,101725.74
1964,105795.63
1965,147648.36
1966,148261.02
1967,285249.47
1968,425505.6
1969,408231.0
1970,452334.56
1971,443532.3
1972,385178.06
1973,262060.77
1974,331663.38
1975,503493.84
1976,276623.03
1977,367188.0
1978,363614.44
1979,342781.4
1980,194025.64
1981,344613.34
1982,214890.25
1983,199041.36
1984,165024.3
1985,224971.9
1986,214813.2
1987,188450.86
1988,174303.44
1989,191084.22
1990,209210.61
1991,228329.11
1992,200483.31
1993,168955.31
1994,232022.12
1995,185967.8
1996,247676.27
1997,312629.03
1998,333612.1
1999,255120.78
2000,310984.9
2001,255660.27
2002,239429.34
2003,268447.38
2004,266742.66
2005,213725.89
2006,221639.33
2007,252908.34
2008,223997.81
2009,190656.1
2010,197080.55
2011,146087.77
2012,181664.5
2013,179751.23
2014,184145.95
2015,211407.6
2016,187297.36
2017,191639.19
2018,124702.25
2019,135787.31
2020,102610.266
2021,112929.42
2022,181361.06
2023,145556.94
2024,250504.53
2025,341430.38
2026,178338.78
2027,147548.12
2028,156946.55
2029,164751.31
2030,269433.56
2031,223908.53
2032,243350.62
2033,267296.5
2034,162959.73
2035,212469.34
2036,194535.53
2037,199274.22
2038,265842.12
2039,232615.45
2040,256322.11
2041,284997.4
2042,198164.62
2043,171642.84
2044,169416.94
2045,209017.97
2046,141546.78
2047,153072.58
2048,139317.2
2049,136603.0
2050,184197.06
2051,102712.48
2052,130951.5
2053,146773.44
2054,85314.93
2055,161953.61
2056,131237.42
2057,117881.71
2058,224191.22
2059,130993.71
2060,167384.1
2061,182631.03
2062,132270.39
2063,108437.23
2064,146872.7
2065,124884.45
2066,159566.72
2067,104154.31
2068,147833.08
2069,80794.06
2070,111279.586
2071,89990.34
2072,129532.05
2073,139815.4
2074,194509.56
2075,153131.56
